,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,1,-0.6951626135276496,-0.2616841149841572,0.14424474744891227,-0.7668585376979625,-0.20840696522282862,-0.9002196859662299,0.314920756775669,-0.18059808162381294,0.4721802080081742,-0.28830936273090135,-0.885143912155286,1
2,1,0.6678901178942246,-0.3805753062700218,0.5521357689399607,0.41086263717489907,-0.18130489776071498,-0.0026275125002308934,-0.3014736630782751,0.1899474456355591,0.22239808088860993,-0.6220065900763856,-0.3794213728454297,1
3,1,-0.013636247816712172,-0.6778032844846839,0.008281073618562652,0.7664011050610459,0.035511641936193494,0.9510641718073931,1.2659292902646113,0.35837723075349287,-0.21472064157062615,-0.888964371952773,-0.5479955526153812,1
6,1,-0.770887765273309,-0.14279292369829233,-1.0794283170242334,0.4330837914177832,-0.31681523507128306,-0.0026275125002308934,0.38536583333040547,0.12257553158840054,-0.2771661733505158,-0.4217882536690952,-0.8008568222703102,1
9,1,0.6678901178942246,-0.7372488801276164,0.7560812796854848,-0.7890796919408467,-0.3439173025333965,-0.11482653418348077,0.2620869493596166,-0.2479699956710089,-0.02738404623095156,-0.5552671446072887,0.3791624361193556,1
10,1,0.6678901178942246,-0.44002090191295423,0.6201176058551352,-0.8001902690622887,-0.642040044616646,-1.0685182184911046,-0.9002568137935351,-1.2585487063784995,-1.4636312771684448,0.1788667555527772,1.2220333349691166,1
11,1,1.046515876622523,-0.6778032844846839,0.5521357689399607,-0.18910852738297382,-0.5878359096924187,-0.7319211534413551,-0.0901384334140657,0.055203617541241985,-0.5269483004700801,-0.021351580854513597,-0.7165697323853344,1
12,1,0.5164398144029058,-0.9750312626993459,0.34819025819443633,-0.8557431546694991,-0.4523255723818509,-0.78802066428298,-0.6889215841293257,-0.8543172220955106,-0.2771661733505158,0.646042873836455,0.21058825634940395,1
13,1,-0.4679871582906707,-1.0939224539852106,0.5521357689399607,-0.7890796919408467,-0.3439173025333965,1.007163682649018,0.5086447173011943,-1.1238048782841823,1.9708729707255597,-0.08809102632361053,1.5591816945090213,1
15,1,-0.4679871582906707,-1.0344768583422783,0.4161720951096111,-0.7890796919408467,-0.6691421120787595,-0.11482653418348077,-0.037304625998013353,-1.0564329642370238,0.15995254910872025,0.11212731008368026,0.7163107956592603,1
16,1,-0.6951626135276496,0.8083366065886258,-1.8952103600063306,-0.8779643089123834,-0.28971316760916943,-0.0026275125002308934,-0.26625112480090685,-0.5848295659068391,0.09750701732883058,-1.1559221538291606,-0.8008568222703102,1
18,1,0.13781405567460733,-0.023901732412427427,0.68809944277031,-0.8779643089123834,-0.642040044616646,-0.7319211534413551,1.0017602531843495,-0.9553750931662485,-0.6518393640298622,-0.021351580854513597,0.6320237057742845,1
19,1,-0.5437123100363301,-0.20223851934122478,-1.2153919908545827,0.5441895626322041,-0.3439173025333965,0.22177053086626886,0.3325320259143531,0.3246912737299136,-0.02738404623095156,-0.2215699172618044,-0.885143912155286,1
20,1,-0.770887765273309,1.8783573281614092,1.0959904642613585,-0.8557431546694991,-0.7504483144651004,-0.05872702334185583,-0.6889215841293257,-1.7975240187558426,0.6595168033478488,-0.9557038174218699,1.896330054048926,2
21,1,-0.6194374617819896,-0.20223851934122478,0.4161720951096111,-0.4779835325404682,-0.5065297073060782,-0.6197221317581052,-0.21341731738485453,-1.1238048782841823,-0.3396117051304083,-1.2226615992982577,0.3791624361193556,1
22,1,-0.3165368547993512,-0.4994664975558867,0.68809944277031,-0.7446373834550782,-0.20840696522282862,0.6144671067576434,0.1388080653888278,-0.5174576518596805,1.5337542482663238,-0.3550488081999983,-0.04227301330552496,2
23,1,0.2892643591659262,1.9378029238043417,-1.2153919908545827,-0.7890796919408467,0.4691447213300112,-0.2831250667083556,0.9489264457682972,-0.2816559526945882,-1.088958086489101,-0.15483047179270745,-1.0537180919252376,1
24,1,-0.4679871582906707,-0.44002090191295423,0.6201176058551352,-0.8335220004266151,-0.12710076283648777,-0.78802066428298,0.49103344816251016,0.1899474456355591,1.221526589366867,-0.4217882536690952,-0.4637084627304055,1
25,1,-0.16508655130803168,-0.5589120931988192,0.008281073618562652,0.8775068762754668,-0.28971316760916943,1.4559597693820174,2.304994169446974,0.3246912737299136,0.15995254910872025,-0.2215699172618044,-0.12656010319050076,1
26,1,-0.2408117030536911,-0.6183576888417516,0.2122265843640867,-0.9001854631552676,-0.12710076283648777,0.2778700417078938,0.5614785247172466,-0.5174576518596805,1.4088631847065416,-0.6220065900763856,-0.4637084627304055,1
27,1,-0.16508655130803168,-0.3805753062700218,0.48415393202478596,0.810843413546814,-0.15420283029860157,0.10957150918301899,0.47342217902382605,0.5268070158713892,0.9717444622473027,-0.021351580854513597,-0.04227301330552496,1
28,1,0.13781405567460733,-0.44002090191295423,1.0959904642613585,-0.8779643089123834,-0.2626111001470558,-0.7319211534413551,0.314920756775669,-1.0564329642370238,-0.21472064157062615,-0.28830936273090135,0.8848849754292119,1
29,1,-0.013636247816712172,-0.14279292369829233,0.2802084212792615,-0.6779739207264258,-0.642040044616646,0.39006906339114367,-0.0020820877206451202,-1.325920620425658,-0.7767304275896444,1.1799584375892298,1.4748946046240454,1
30,1,0.9707907248768637,-0.6183576888417516,0.48415393202478596,1.1886030356758452,-0.3439173025333965,-0.5636226209164803,0.49103344816251016,0.9647244571779573,-0.1522751097907337,-0.021351580854513597,-0.4637084627304055,1
31,1,0.8193404213855449,-1.2128136452710754,0.14424474744891227,-0.8779643089123834,-0.3981214374576237,-1.2929162618576044,-1.1820371200124808,-0.3827138237653634,1.5337542482663238,-0.888964371952773,-0.29513428296045385,1
32,1,0.13781405567460733,-0.5589120931988192,0.2802084212792615,-0.6668633436049838,-0.18130489776071498,0.053471998341394045,-0.24863985566222277,-0.8543172220955106,-0.21472064157062615,-0.6220065900763856,0.21058825634940395,1
34,1,-1.073788372255948,-0.44002090191295423,-0.8075009693635343,2.199665553727075,-0.3439173025333965,-0.4514235992332304,1.1426504062938225,0.5604929728949686,0.9092989304674131,-1.0891827083600638,-0.29513428296045385,1
35,1,0.062088903928947246,-0.3805753062700218,0.7560812796854848,-0.7446373834550782,0.6317571261026925,-0.5075231100748553,0.15641933452751194,-1.3596065774492372,-0.21472064157062615,-0.7554854810145795,1.896330054048926,1
36,1,-0.5437123100363301,0.27332624580223447,-0.6035554586180101,0.07754532353163639,-0.15420283029860157,-0.2831250667083556,0.6143123321332989,-0.3827138237653634,0.09750701732883058,-1.2226615992982577,-0.4637084627304055,1
37,1,-0.16508655130803168,-0.08334732805535988,0.008281073618562652,-0.8557431546694991,-0.09999869537437436,0.4461685742327686,0.4205883716077737,-1.325920620425658,-0.5893938322499725,-1.6898377175819355,0.5477366158893072,1
38,1,0.062088903928947246,-0.6183576888417516,0.48415393202478596,2.8663001810136004,0.008409574474080072,0.8388651501241432,0.6143123321332989,1.8068733827675514,-0.08982957801084401,-1.1559221538291606,-1.6437277211200712,1
42,1,-0.16508655130803168,-0.20223851934122478,-0.3996099478724858,0.52196840838932,0.3336343840194432,-0.11482653418348077,0.8080362926588243,0.2910053167062969,-0.5893938322499725,-0.4885276991381918,-0.6322826425003572,1
43,1,-0.4679871582906707,-0.6183576888417516,-0.33162811095731104,-0.8113008461837309,0.008409574474080072,0.16567102002464393,0.6671461395493513,-0.3827138237653634,-0.02738404623095156,0.1788667555527772,-0.885143912155286,1
44,1,-0.3922620065450106,-0.6778032844846839,-0.3996099478724858,-0.8113008461837309,0.0897157768604207,0.16567102002464393,0.7023686778267195,-0.3827138237653634,0.09750701732883058,0.1788667555527772,-0.885143912155286,1
45,1,0.13781405567460733,-0.9750312626993459,-0.059700763296612155,-0.8113008461837309,0.035511641936193494,0.4461685742327686,0.931315176629613,-0.4837716948361012,-0.40205723691029793,-0.021351580854513597,-0.4637084627304055,1
46,1,-0.770887765273309,0.6299998196598289,-0.3996099478724858,-0.1446662188972054,0.17102197924676152,1.8486563452733922,1.6181546730382936,-0.18059808162381294,0.2848436126685024,-0.08809102632361053,-0.6322826425003572,0
47,1,-0.770887765273309,0.6894454153027613,-0.4675917847876606,-0.1446662188972054,0.25232818163310233,1.792556834431767,1.6357659421769777,-0.21428403864742962,0.15995254910872025,-0.08809102632361053,-0.6322826425003572,1
49,1,-0.2408117030536911,-0.9155856670564135,0.2122265843640867,-0.011339293439900413,0.27943024909521597,0.10957150918301899,0.6319236012719831,0.1562614886119798,0.8468533986875206,-0.3550488081999983,-0.6322826425003572,1
50,1,-0.013636247816712172,-0.9155856670564135,-0.059700763296612155,-0.7668585376979625,0.1439199117846479,0.053471998341394045,1.0369827914617178,-0.9553750931662485,0.7844078669076309,-0.6220065900763856,0.9691720653141878,1
51,1,-0.4679871582906707,-0.5589120931988192,-0.19566443712696177,-0.8779643089123834,0.3065323165573296,0.5022680850743936,0.17403060366619605,-1.0564329642370238,0.7219623351277384,0.31234564649097035,0.3791624361193556,1
52,1,-0.770887765273309,-1.0939224539852106,0.07626291053373746,-0.8779643089123834,0.008409574474080072,-0.5075231100748553,-0.5656427001585369,-1.1911767923313408,0.5970712715679564,-0.4885276991381918,0.2948753462343798,1
53,1,-0.6194374617819896,-0.9750312626993459,0.2122265843640867,-0.9001854631552676,-0.31681523507128306,0.5022680850743936,-0.10774970255274982,-1.1574908353077615,0.5346257397880666,-1.2226615992982577,0.2948753462343798,1
55,1,-0.2408117030536911,-0.5589120931988192,0.2122265843640867,-0.8335220004266151,-0.47942763984396447,-0.05872702334185583,1.3539856359580318,-1.2585487063784995,-0.5893938322499725,-0.08809102632361053,0.3791624361193556,1
56,1,-0.013636247816712172,-0.7966944757705487,0.14424474744891227,1.521920349319108,-0.3710193699955103,0.39006906339114367,1.7414335570090824,0.5604929728949686,-0.8391759593695368,-0.2215699172618044,-0.8008568222703102,1
57,1,-0.9223380687646285,-0.9155856670564135,-0.3996099478724858,1.6330261205335288,-0.23550903268494222,1.1193627043322678,0.5790897938559307,0.8973525431307987,0.4721802080081742,-1.1559221538291606,-1.3908664514651423,1
58,1,-0.4679871582906707,0.21388065015930205,-1.1474101539394082,-0.1002239104114372,-0.3439173025333965,-0.2831250667083556,-0.6360877767132733,-0.4837716948361012,-0.7142848958097546,-1.0224432628909668,-0.29513428296045385,1
59,1,0.13781405567460733,-0.856140071413481,0.2802084212792615,-0.8557431546694991,-0.5065297073060782,0.7827656392825182,-0.05491589513669747,-0.6522014799539976,0.8468533986875206,-1.2894010447673543,-0.5479955526153812,1
60,1,-0.3165368547993512,-0.7372488801276164,-0.5355736217028354,-0.03356044768278452,0.9569819356480554,-0.0026275125002308934,0.15641933452751194,0.1899474456355591,-1.2138491500488833,-0.4885276991381918,-1.6437277211200712,1
62,1,-0.16508655130803168,0.7488910109456934,-1.691264849260806,-0.8779643089123834,-0.5878359096924187,-0.7319211534413551,0.6495348704106672,-1.1911767923313408,-1.2762946818287728,-1.2894010447673543,-0.04227301330552496,1
64,1,-0.013636247816712172,-0.6183576888417516,-0.33162811095731104,-0.8113008461837309,-0.5065297073060782,0.053471998341394045,0.1388080653888278,-0.6185155229304183,-0.4645027686901904,-0.4885276991381918,-0.21084719307547656,1
65,1,-0.770887765273309,0.035543863230504694,-1.9631921969215054,-0.8557431546694991,0.19812404670887515,-0.05872702334185583,0.10358552711145957,-0.3827138237653634,-0.02738404623095156,0.045387864614583336,-1.2222922716951907,1
66,1,-0.6194374617819896,-0.4994664975558867,-0.5355736217028354,0.2997568659604782,-0.4523255723818509,-0.17092604502510572,0.17403060366619605,-1.4269784914964332,-0.02738404623095156,-0.28830936273090135,1.727755874278973,1
